








10,55,20,32,31,0,0,0
56,45,48,32,31,0,0,0
8,45,49,32,31,0,0,0
2,51,46,32,31,0,0,0
17,44,25,32,31,0,0,0
7,44,20,32,31,0,0,0
3,44,19,32,31,0,0,0


35,51,27,32,31,0,0,0
1,20,26,32,31,0,0,0
15,1,20,32,31,0,0,0
45,53,46,32,31,0,0,0
8,55,19,20,32,0,0,0
15,49,1,32,31,0,0,0
10,2,25,32,31,0,0,0
67,27,46,0,0,0,0,0




1,3,32,31,27,0,0,0
10,50,18,32,31,0,0,0
16,38,32,31,27,0,0,0
1,19,20,29,32,0,0,0
2,22,32,31,25,55,11,51
3,11,15,31,25,0,0,0
3,20,32,31,27,0,0,0
20,22,32,31,27,0,0,0
8,18,32,31,25,0,0,0
20,19,27,32,31,0,0,0
8,18,22,32,31,0,0,0
11,53,19,32,31,0,0,0
11,20,29,32,31,10,51,36
2,47,27,32,31,61,29,15
10,22,32,31,25,0,0,0

13,21,32,31,25,0,0,0
46,30,44,52,32,0,0,0
11,20,48,32,31,0,0,0
10,14,32,31,27,0,0,0
1,3,11,37,32,0,0,0
21,30,40,32,31,0,0,0
17,53,19,32,31,0,0,0


3,11,39,32,31,0,0,0
14,39,32,31,26,0,0,0
2,14,46,32,31,13,51,16
18,37,32,31,26,0,0,0
3,20,29,32,31,0,0,0

19,20,32,31,25,0,0,0




37,29,26,32,31,0,0,0




10,19,20,32,31,0,0,0
10,18,25,32,31,34,17,45
11,22,29,32,27,0,0,0

2,10,29,32,31,0,0,0
10,22,29,32,31,0,0,0






1,29,40,32,31,64,66,44
8,17,29,32,31,25,36,40
8,29,40,32,31,3,61,48
6,29,20,32,31,66,3,25
51,47,19,32,31,46,55,64

















1,22,29,32,31,61,40,55
58,22,18,20,31,57,29,32
22,20,25,32,31,61,39,65
















8,22,46,32,31,62,0,0
15,37,32,31,25,33,39,57








3,19,21,32,31,25,60,46
63,60,29,32,31,0,0,0
1,2,20,32,31,62,48,8
29,53,54,32,31,0,0,0
8,3,20,32,31,0,0,0




3,8,29,32,31,66,65,25

30,40,32,31,26,0,0,0
56,48,19,32,31,0,0,0
51,47,30,32,31,0,0,0
20,21,30,32,31,0,0,0
11,13,22,32,31,0,0,0
2,21,32,31,27,0,0,0
3,17,32,31,25,0,0,0
1,47,20,32,31,0,0,0
15,38,32,31,25,0,0,0




40,29,18,32,31,0,0,0
3,29,32,31,27,0,0,0

13,39,14,32,31,0,0,0






3,11,51,32,25,0,0,0
3,48,54,32,31,0,0,0
13,44,54,32,31,0,0,0
11,1,22,54,32,0,0,0


51,65,31,0,0,0,0,0


10,19,18,32,31,0,0,0


8,52,25,32,31,0,0,0




2,47,10,32,31,0,0,0


11,55,25,32,31,0,0,0





2,10,11,32,31,57,56,0
1,8,11,32,31,37,51,0
51,49,45,32,31,0,0,0
1,3,19,39,32,0,0,0
19,30,48,32,31,0,0,0
2,49,30,32,31,0,0,0



20,32,31,25,26,29,10,3





13,48,46,32,31,0,0,0
52,59,51,32,31,0,0,0
57,2,54,32,31,0,0,0
49,29,25,32,31,0,0,0













29,48,49,32,31,41,55,63













62,46,18,32,31,0,0,0




58,8,30,32,31,0,0,0
58,25,55,32,31,0,0,0
40,29,60,32,31,0,0,0









22,18,39,32,31,64,3,0
56,55,15,32,31,61,25,58
3,30,22,19,18,31,61,0

57,58,30,32,31,5,61,55








27,22,11,32,31,0,0,0
14,15,11,32,31,51,10,0
10,18,47,32,31,61,48,45










11,3,46,32,31,0,0,0


2,11,53,32,31,0,0,0

















3,17,19,32,31,0,0,0
51,18,19,59,32,31,0,0
10,53,19,59,32,31,0,0
50,18,30,32,31,0,0,0
57,54,20,32,31,0,0,0

3,55,49,32,31,0,0,0
57,17,30,32,31,0,0,0
62,11,55,32,31,0,0,0
58,44,54,32,31,0,0,0


51,19,50,32,31,0,0,0





50,53,45,32,31,0,0,0


38,18,50,32,31,0,0,0




41,48,30,32,31,0,0,0



40,29,19,32,31,65,25,0
40,29,20,32,31,51,27,45
40,29,20,32,31,0,0,0
11,44,48,32,31,0,0,0
57,11,19,32,31,68,54,25


57,54,49,32,31,0,0,0


8,46,65,32,31,0,0,0
40,29,25,32,31,0,0,0





29,3,22,32,31,50,46,25



11,29,26,32,31,0,0,0

8,48,44,32,31,62,63,29
13,11,19,32,31,0,0,0
10,18,20,32,31,0,0,0
3,11,20,32,31,0,0,0
1,51,30,32,31,0,0,0
40,17,29,32,31,0,0,0













15,29,21,32,31,0,0,0
8,49,30,32,31,0,0,0


















1,44,20,32,31,0,0,0
48,55,11,32,31,0,0,0



29,46,45,32,31,0,0,0















10,29,19,59,32,31,0,0









51,53,18,32,31,0,0,0



40,29,19,32,31,0,0,0




5,11,53,32,31,0,0,0
1,51,29,32,31,0,0,0

30,20,27,32,31,0,0,0
















1,53,30,32,31,0,0,0





7,2,26,32,31,0,0,0



















60,51,29,32,31,0,0,0












57,3,19,32,31,0,0,0
1,29,25,32,31,0,0,0





51,29,55,32,31,0,0,0


62,11,25,32,31,0,0,0
50,44,47,20,32,0,0,0












26,63,27,32,31,0,0,0


6,37,20,32,31,0,0,0
1,49,19,32,31,0,0,0

33,60,19,32,31,0,0,0







5,11,19,32,31,35,10,69
29,3,1,32,31,55,25,0











62,11,22,32,31,0,0,0












17,1,29,32,31,0,0,0









40,29,47,32,31,0,0,0














10,55,19,32,31,0,0,0









59,3,44,19,32,31,0,0












27,11,46,32,31,0,0,0









11,29,47,32,31,0,0,0
51,45,32,31,26,0,0,0
2,44,20,32,31,0,0,0
10,48,47,32,31,0,0,0




10,11,22,32,31,0,0,0





58,29,20,32,31,0,0,0
63,55,47,59,32,31,0,0
60,22,25,32,31,0,0,0
10,48,25,32,31,0,0,0







37,11,19,32,31,0,0,0




15,48,50,32,31,0,0,0


























3,27,19,59,32,31,0,0
